,beta,HR (95% CI for HR),wald.test,p.value
SLC38A2,-0.4,0.67 (0.35-1.3),1.4,0.24
SIGLEC11,0.12,1.1 (0.92-1.4),1.4,0.24
SERPINE2,-0.24,0.79 (0.53-1.2),1.4,0.24
RFX4,0.22,1.2 (0.86-1.8),1.4,0.24
RAMP1,-0.19,0.83 (0.6-1.1),1.4,0.24
RAB40AL,-0.23,0.79 (0.54-1.2),1.4,0.24
PRKCG,-0.057,0.94 (0.86-1),1.4,0.24
PRDX1,0.15,1.2 (0.91-1.5),1.4,0.24
PPM1N,-0.14,0.87 (0.69-1.1),1.4,0.24
NONO,-0.35,0.7 (0.39-1.3),1.4,0.24
NCRNA00181,0.16,1.2 (0.9-1.5),1.4,0.24
MT2A,0.17,1.2 (0.9-1.6),1.4,0.24
MLF2,-0.41,0.66 (0.34-1.3),1.4,0.24
MED24,-0.5,0.61 (0.27-1.4),1.4,0.24
MCM7,0.22,1.2 (0.87-1.8),1.4,0.24
LOC388242,0.11,1.1 (0.93-1.3),1.4,0.24
LOC100134259,-0.24,0.79 (0.53-1.2),1.4,0.24
KHDRBS1,0.5,1.7 (0.72-3.8),1.4,0.24
HPGD,-0.14,0.87 (0.69-1.1),1.4,0.24
HCFC1,0.46,1.6 (0.74-3.4),1.4,0.24
GRM8,-0.12,0.89 (0.72-1.1),1.4,0.24
GNAQ,0.45,1.6 (0.74-3.3),1.4,0.24
FLJ10357,0.32,1.4 (0.8-2.4),1.4,0.24
FAM95B1,0.12,1.1 (0.92-1.4),1.4,0.24
EXOC3L,0.17,1.2 (0.89-1.6),1.4,0.24
CXorf50B,-0.17,0.85 (0.64-1.1),1.4,0.24
CRABP2,0.12,1.1 (0.92-1.4),1.4,0.24
CHL1,0.11,1.1 (0.93-1.3),1.4,0.24
CDC42SE1,-0.44,0.64 (0.31-1.3),1.4,0.24
CCRL1,-0.12,0.89 (0.72-1.1),1.4,0.24
C20orf118,0.16,1.2 (0.9-1.5),1.4,0.24
BNC2,0.13,1.1 (0.91-1.4),1.4,0.24
ATP6V1C1,-0.34,0.71 (0.41-1.3),1.4,0.24
ANO3,-0.085,0.92 (0.8-1.1),1.4,0.24
ADRB1,0.12,1.1 (0.92-1.4),1.4,0.24
ZNF658,0.33,1.4 (0.79-2.4),1.3,0.25
TSPYL3,-0.18,0.83 (0.61-1.1),1.3,0.25
SPEF2,0.092,1.1 (0.94-1.3),1.3,0.25
SLC9A5,-0.12,0.89 (0.73-1.1),1.3,0.25
SLC6A8,-0.28,0.76 (0.47-1.2),1.3,0.25
RPS11,-0.23,0.79 (0.53-1.2),1.3,0.25
RPL8,-0.22,0.8 (0.55-1.2),1.3,0.25
PTPRN2,-0.16,0.85 (0.65-1.1),1.3,0.25
PCSK4,-0.16,0.85 (0.64-1.1),1.3,0.25
NINJ2,0.089,1.1 (0.94-1.3),1.3,0.25
NEO1,0.33,1.4 (0.79-2.4),1.3,0.25
NCRNA00085,0.15,1.2 (0.9-1.5),1.3,0.25
MGC72080,0.23,1.3 (0.85-1.9),1.3,0.25
MED29,0.32,1.4 (0.8-2.4),1.3,0.25
MAVS,0.46,1.6 (0.72-3.5),1.3,0.25
LOC389634,-0.16,0.86 (0.65-1.1),1.3,0.25
LOC341056,0.25,1.3 (0.84-2),1.3,0.25
KIAA0100,0.51,1.7 (0.69-4),1.3,0.25
FUS,-0.52,0.59 (0.24-1.4),1.3,0.25
FOXL2,0.15,1.2 (0.9-1.5),1.3,0.25
EFCAB4A,0.13,1.1 (0.92-1.4),1.3,0.25
DCC,-0.083,0.92 (0.8-1.1),1.3,0.25
CALY,-0.055,0.95 (0.86-1),1.4,0.25
C3orf47,-0.19,0.82 (0.6-1.1),1.3,0.25
C1orf194,0.079,1.1 (0.95-1.2),1.3,0.25
C10orf93,0.12,1.1 (0.92-1.4),1.3,0.25
AQP4,0.098,1.1 (0.93-1.3),1.3,0.25
ADSSL1,0.14,1.2 (0.9-1.5),1.3,0.25
YWHAZ,0.33,1.4 (0.78-2.5),1.3,0.26
TYRO3,0.2,1.2 (0.87-1.7),1.3,0.26
TRIM69,0.21,1.2 (0.86-1.8),1.3,0.26
TCEANC,-0.36,0.7 (0.38-1.3),1.3,0.26
SYNE1,-0.22,0.8 (0.54-1.2),1.3,0.26
SUSD3,0.11,1.1 (0.93-1.3),1.3,0.26
SRCAP,0.39,1.5 (0.75-2.9),1.3,0.26
PHOSPHO2,0.26,1.3 (0.82-2.1),1.2,0.26
LOC90834,-0.16,0.85 (0.64-1.1),1.2,0.26
LOC728875,0.16,1.2 (0.89-1.5),1.3,0.26
LILRB2,0.11,1.1 (0.92-1.3),1.3,0.26
LANCL1,-0.23,0.79 (0.53-1.2),1.3,0.26
LAG3,0.12,1.1 (0.91-1.4),1.3,0.26
KTN1,-0.37,0.69 (0.36-1.3),1.2,0.26
IGSF22,-0.22,0.8 (0.55-1.2),1.3,0.26
HYAL3,0.22,1.2 (0.85-1.8),1.3,0.26
HTR7P1,0.19,1.2 (0.87-1.7),1.2,0.26
HRCT1,0.12,1.1 (0.92-1.4),1.3,0.26
GNG7,0.2,1.2 (0.86-1.7),1.2,0.26
GHRLOS,0.21,1.2 (0.86-1.8),1.3,0.26
FSCN1,0.18,1.2 (0.87-1.6),1.3,0.26
FHL2,0.11,1.1 (0.92-1.3),1.3,0.26
FBXL22,-0.18,0.84 (0.61-1.1),1.3,0.26
ENTPD3,0.059,1.1 (0.96-1.2),1.3,0.26
EFTUD2,0.28,1.3 (0.81-2.1),1.3,0.26
BAP1,-0.32,0.72 (0.41-1.3),1.3,0.26
ARHGEF10L,-0.17,0.85 (0.63-1.1),1.2,0.26
ACIN1,-0.48,0.62 (0.27-1.4),1.3,0.26
ZCCHC12,0.067,1.1 (0.95-1.2),1.2,0.27
WSB2,-0.31,0.73 (0.42-1.3),1.2,0.27
UBD,0.071,1.1 (0.95-1.2),1.2,0.27
TUBB,0.25,1.3 (0.82-2),1.2,0.27
TNNI3K,-0.15,0.86 (0.65-1.1),1.2,0.27
TNFSF9,-0.11,0.9 (0.74-1.1),1.2,0.27
TDRD6,-0.16,0.85 (0.64-1.1),1.2,0.27
SLC24A5,-0.19,0.82 (0.59-1.2),1.2,0.27
SETD7,-0.26,0.77 (0.48-1.2),1.2,0.27
SENP8,-0.35,0.7 (0.37-1.3),1.2,0.27
RPL35,-0.27,0.76 (0.47-1.2),1.2,0.27
RFESD,0.2,1.2 (0.86-1.7),1.2,0.27
NCBP2,-0.4,0.67 (0.33-1.4),1.2,0.27
MIR17HG,-0.13,0.88 (0.7-1.1),1.2,0.27
MAPRE2,-0.27,0.76 (0.47-1.2),1.2,0.27
LYL1,0.13,1.1 (0.9-1.4),1.2,0.27
LOC153684,0.18,1.2 (0.87-1.7),1.2,0.27
KCTD3,-0.33,0.72 (0.4-1.3),1.2,0.27
JUND,0.23,1.3 (0.84-1.9),1.2,0.27
GSDMB,-0.14,0.87 (0.67-1.1),1.2,0.27
FZD10,0.1,1.1 (0.92-1.3),1.2,0.27
EXOC4,-0.35,0.7 (0.38-1.3),1.2,0.27
EIF3G,-0.38,0.68 (0.35-1.3),1.2,0.27
CTRL,-0.17,0.85 (0.63-1.1),1.2,0.27
CECR7,0.078,1.1 (0.94-1.2),1.2,0.27
CCT8,0.45,1.6 (0.7-3.5),1.2,0.27
ZNF454,-0.23,0.8 (0.53-1.2),1.2,0.28
XIRP1,0.074,1.1 (0.94-1.2),1.2,0.28
UBAP2L,0.43,1.5 (0.71-3.3),1.2,0.28
TMEM74,0.12,1.1 (0.91-1.4),1.2,0.28
TMEM45B,0.12,1.1 (0.91-1.4),1.2,0.28
SNAI3,0.18,1.2 (0.86-1.7),1.1,0.28
PREX1,0.2,1.2 (0.84-1.8),1.2,0.28
PLEC,-0.2,0.82 (0.57-1.2),1.2,0.28
LOC729603,0.18,1.2 (0.86-1.7),1.2,0.28
LIME1,0.11,1.1 (0.91-1.4),1.2,0.28
KCTD20,-0.19,0.82 (0.58-1.2),1.2,0.28
HDGF,0.36,1.4 (0.75-2.7),1.2,0.28
GLT1D1,-0.069,0.93 (0.82-1.1),1.1,0.28
DBI,0.2,1.2 (0.85-1.7),1.2,0.28
CCDC80,-0.11,0.89 (0.73-1.1),1.2,0.28
CCDC147,-0.16,0.86 (0.64-1.1),1.2,0.28
C2orf65,0.13,1.1 (0.9-1.5),1.2,0.28
AP2A1,0.3,1.4 (0.78-2.3),1.2,0.28
AHCYL2,-0.19,0.82 (0.58-1.2),1.2,0.28
ZMAT4,-0.07,0.93 (0.82-1.1),1.1,0.29
X2.Sep,-0.28,0.76 (0.45-1.3),1.1,0.29
SULT1A2,0.15,1.2 (0.88-1.5),1.1,0.29
RNF43,0.085,1.1 (0.93-1.3),1.1,0.29
RNF19A,0.16,1.2 (0.87-1.6),1.1,0.29
NUDT17,0.26,1.3 (0.8-2.1),1.1,0.29
MAMSTR,0.2,1.2 (0.84-1.8),1.1,0.29
KBTBD10,0.19,1.2 (0.85-1.7),1.1,0.29
HYAL1,0.18,1.2 (0.86-1.7),1.1,0.29
HS3ST2,-0.065,0.94 (0.83-1.1),1.1,0.29
GPR179,-0.1,0.9 (0.75-1.1),1.1,0.29
ERBB2IP,0.19,1.2 (0.85-1.7),1.1,0.29
DNAH12,0.11,1.1 (0.91-1.4),1.1,0.29
DGKH,0.11,1.1 (0.91-1.4),1.1,0.29
CSNK1D,0.68,2 (0.56-6.9),1.1,0.29
C14orf138,-0.21,0.81 (0.56-1.2),1.1,0.29
ATP6V1C2,0.28,1.3 (0.79-2.2),1.1,0.29
AP2A2,-0.38,0.68 (0.33-1.4),1.1,0.29
ABCC11,-0.16,0.85 (0.62-1.2),1.1,0.29
ZNF467,-0.18,0.83 (0.59-1.2),1.1,0.3
ZBTB8B,0.1,1.1 (0.91-1.3),1,0.3
WIPI2,0.49,1.6 (0.64-4.1),1.1,0.3
WDR26,-0.41,0.67 (0.31-1.4),1.1,0.3
TAF4B,0.16,1.2 (0.87-1.6),1.1,0.3
SUB1,-0.32,0.73 (0.4-1.3),1.1,0.3
OCIAD1,-0.46,0.63 (0.27-1.5),1.1,0.3
NPDC1,-0.21,0.81 (0.54-1.2),1.1,0.3
NCF4,0.12,1.1 (0.9-1.4),1.1,0.3
LOC100101266,0.18,1.2 (0.85-1.7),1,0.3
KAZALD1,0.097,1.1 (0.92-1.3),1.1,0.3
HSPA8,-0.33,0.72 (0.39-1.3),1.1,0.3
GSN,0.14,1.2 (0.88-1.5),1.1,0.3
GNB4,-0.18,0.84 (0.6-1.2),1.1,0.3
F12,0.099,1.1 (0.92-1.3),1.1,0.3
CYSLTR1,0.14,1.1 (0.89-1.5),1.1,0.3
CDH8,-0.066,0.94 (0.83-1.1),1.1,0.3
CD9,0.15,1.2 (0.87-1.6),1.1,0.3
CAPN14,-0.14,0.87 (0.67-1.1),1.1,0.3
C6orf204,0.17,1.2 (0.86-1.6),1.1,0.3
C14orf148,0.18,1.2 (0.85-1.7),1.1,0.3
C12orf61,0.19,1.2 (0.84-1.7),1.1,0.3
ARHGAP5,-0.26,0.77 (0.47-1.3),1.1,0.3
AGPAT3,-0.3,0.74 (0.42-1.3),1.1,0.3
USP51,-0.12,0.88 (0.7-1.1),1,0.31
SYPL2,-0.1,0.9 (0.74-1.1),1,0.31
SMAD6,0.15,1.2 (0.87-1.6),1,0.31
SLC16A6,0.12,1.1 (0.89-1.4),1,0.31
SDC3,0.19,1.2 (0.83-1.8),1,0.31
RERG,0.12,1.1 (0.9-1.4),1,0.31
RBM8A,0.36,1.4 (0.72-2.8),1,0.31
PLP1,-0.077,0.93 (0.8-1.1),1,0.31
PGBD4,-0.23,0.8 (0.52-1.2),1,0.31
OTOF,0.071,1.1 (0.94-1.2),1,0.31
LOC283050,0.19,1.2 (0.84-1.8),1,0.31
LOC100128191,0.16,1.2 (0.86-1.6),1,0.31
LASP1,0.34,1.4 (0.73-2.7),1,0.31
IRF2BP2,0.33,1.4 (0.73-2.7),1,0.31
FOXH1,-0.16,0.85 (0.63-1.2),1,0.31
C10orf54,-0.16,0.85 (0.62-1.2),1,0.31
ARL8B,-0.31,0.73 (0.4-1.3),1,0.31
ANUBL1,0.12,1.1 (0.89-1.4),1,0.31
ACRC,-0.19,0.83 (0.58-1.2),1,0.31
ZNF90,0.12,1.1 (0.89-1.4),0.98,0.32
ZNF674,0.32,1.4 (0.74-2.6),1,0.32
ZNF491,-0.23,0.8 (0.51-1.2),0.99,0.32
WSB1,-0.13,0.88 (0.68-1.1),1,0.32
TSC22D3,-0.15,0.86 (0.64-1.2),0.97,0.32
TJP1,-0.31,0.73 (0.39-1.4),0.98,0.32
THSD7B,0.11,1.1 (0.9-1.4),1,0.32
TAX1BP1,0.29,1.3 (0.75-2.4),0.97,0.32
SPTAN1,-0.39,0.68 (0.32-1.5),0.98,0.32
SLC6A20,-0.079,0.92 (0.79-1.1),1,0.32
RRAD,0.1,1.1 (0.9-1.4),0.99,0.32
RNF157,0.19,1.2 (0.82-1.8),0.97,0.32
PSME3,0.58,1.8 (0.57-5.7),0.99,0.32
PON2,-0.18,0.84 (0.59-1.2),0.98,0.32
PCDHGA5,-0.067,0.94 (0.82-1.1),1,0.32
PALM,-0.2,0.82 (0.55-1.2),1,0.32
PADI2,0.095,1.1 (0.91-1.3),1,0.32
ODZ2,-0.061,0.94 (0.83-1.1),0.98,0.32
LOC92659,-0.2,0.82 (0.55-1.2),0.98,0.32
LHFPL1,-0.091,0.91 (0.76-1.1),1,0.32
KANK4,-0.067,0.93 (0.82-1.1),1,0.32
FLJ42627,-0.15,0.86 (0.63-1.2),0.99,0.32
FLJ42289,-0.18,0.84 (0.59-1.2),0.98,0.32
FBXL8,0.13,1.1 (0.88-1.5),1,0.32
FAM71D,0.26,1.3 (0.78-2.2),1,0.32
FAM27A,0.19,1.2 (0.84-1.7),1,0.32
CPNE3,0.3,1.3 (0.75-2.4),0.98,0.32
CLASP1,-0.33,0.72 (0.37-1.4),0.97,0.32
CCDC7,-0.3,0.74 (0.41-1.3),0.99,0.32
BMP8B,0.079,1.1 (0.93-1.3),1,0.32
BAI2,0.19,1.2 (0.83-1.8),0.97,0.32
ARCN1,0.39,1.5 (0.68-3.2),0.98,0.32
AKR7L,-0.16,0.85 (0.62-1.2),0.97,0.32
ABCC6,-0.14,0.87 (0.67-1.1),0.98,0.32
YWHAH,0.12,1.1 (0.88-1.5),0.94,0.33
SEZ6,-0.091,0.91 (0.76-1.1),0.96,0.33
RIMBP3,0.17,1.2 (0.85-1.7),0.96,0.33
PRNP,-0.21,0.81 (0.54-1.2),0.95,0.33
PMAIP1,0.12,1.1 (0.88-1.5),0.93,0.33
PDE4DIP,-0.17,0.84 (0.6-1.2),0.94,0.33
PCDHB17,0.075,1.1 (0.93-1.3),0.97,0.33
MED13L,-0.22,0.8 (0.52-1.2),0.97,0.33
LEAP2,-0.19,0.82 (0.55-1.2),0.93,0.33
HSD17B1,-0.24,0.78 (0.48-1.3),0.94,0.33
HDX,0.26,1.3 (0.77-2.2),0.93,0.33
FAM82A1,0.23,1.3 (0.79-2),0.94,0.33
CKB,-0.17,0.85 (0.61-1.2),0.93,0.33
CCDC157,-0.22,0.8 (0.51-1.3),0.95,0.33
C9orf93,-0.17,0.84 (0.6-1.2),0.94,0.33
C3orf71,-0.22,0.8 (0.51-1.3),0.95,0.33
C3orf54,-0.13,0.87 (0.67-1.1),0.94,0.33
BTBD2,0.34,1.4 (0.71-2.8),0.96,0.33
BPTF,0.3,1.4 (0.74-2.5),0.96,0.33
ATRN,-0.35,0.7 (0.35-1.4),0.95,0.33
ANKRD20A3,0.1,1.1 (0.9-1.4),0.94,0.33
XRCC5,0.4,1.5 (0.65-3.4),0.91,0.34
WDR49,-0.08,0.92 (0.78-1.1),0.9,0.34
TMIGD2,-0.088,0.92 (0.76-1.1),0.89,0.34
TECTA,-0.16,0.85 (0.61-1.2),0.92,0.34
SYT2,-0.049,0.95 (0.86-1.1),0.9,0.34
RTN4,-0.28,0.75 (0.42-1.3),0.92,0.34
RPS16,-0.17,0.85 (0.6-1.2),0.9,0.34
PRKACB,-0.23,0.8 (0.5-1.3),0.91,0.34
PLEKHG4,0.093,1.1 (0.91-1.3),0.91,0.34
PARD6B,0.21,1.2 (0.8-1.9),0.9,0.34
OMD,-0.079,0.92 (0.79-1.1),0.9,0.34
LOC256880,0.18,1.2 (0.82-1.7),0.89,0.34
LOC100302650,0.095,1.1 (0.91-1.3),0.92,0.34
KIAA0494,0.28,1.3 (0.74-2.4),0.92,0.34
HSBP1,0.42,1.5 (0.64-3.6),0.92,0.34
GGTLC2,-0.21,0.81 (0.53-1.2),0.92,0.34
FOXD4L1,-0.16,0.86 (0.62-1.2),0.92,0.34
DSTN,-0.46,0.63 (0.25-1.6),0.91,0.34
CYB5R3,-0.29,0.75 (0.41-1.4),0.9,0.34
CNTN2,0.053,1.1 (0.94-1.2),0.9,0.34
CNDP2,0.28,1.3 (0.75-2.3),0.92,0.34
CEACAM19,-0.12,0.89 (0.7-1.1),0.93,0.34
CAPZA2,0.35,1.4 (0.69-2.9),0.91,0.34
C9orf172,0.13,1.1 (0.87-1.5),0.9,0.34
C3orf10,-0.47,0.62 (0.24-1.6),0.93,0.34
C19orf6,0.26,1.3 (0.76-2.2),0.92,0.34
AIF1L,0.17,1.2 (0.84-1.7),0.91,0.34
ZNF24,-0.29,0.75 (0.4-1.4),0.86,0.35
TRPC6,-0.091,0.91 (0.75-1.1),0.86,0.35
TMEM132A,0.19,1.2 (0.82-1.8),0.88,0.35
SYNCRIP,0.39,1.5 (0.65-3.3),0.86,0.35
STARD7,-0.5,0.61 (0.22-1.7),0.89,0.35
SRP14,0.34,1.4 (0.69-2.9),0.88,0.35
SFRS14,0.34,1.4 (0.69-2.9),0.87,0.35
RAB26,-0.11,0.9 (0.72-1.1),0.89,0.35
PKM2,0.26,1.3 (0.75-2.2),0.88,0.35
PEX11G,0.15,1.2 (0.84-1.6),0.86,0.35
NKD2,-0.1,0.9 (0.72-1.1),0.86,0.35
MAGED1,-0.26,0.77 (0.44-1.3),0.86,0.35
LRRC6,0.13,1.1 (0.87-1.5),0.87,0.35
IPO13,0.26,1.3 (0.75-2.2),0.86,0.35
HMCN1,0.1,1.1 (0.89-1.4),0.88,0.35
GRSF1,0.41,1.5 (0.64-3.6),0.88,0.35
GPR132,0.092,1.1 (0.9-1.3),0.87,0.35
GOLGB1,0.35,1.4 (0.68-2.9),0.87,0.35
GHR,-0.11,0.89 (0.71-1.1),0.87,0.35
EDF1,-0.36,0.7 (0.33-1.5),0.87,0.35
BCL11A,0.058,1.1 (0.94-1.2),0.86,0.35
ATP8B3,0.13,1.1 (0.87-1.5),0.87,0.35
AP1B1,-0.33,0.72 (0.36-1.4),0.89,0.35
ZSCAN16,0.24,1.3 (0.76-2.1),0.85,0.36
ZNF57,0.34,1.4 (0.67-3),0.83,0.36
TCEB2,-0.3,0.74 (0.39-1.4),0.85,0.36
SNORD116.28,-0.12,0.89 (0.69-1.1),0.85,0.36
RAD23B,0.5,1.6 (0.56-4.9),0.82,0.36
RAB40A,-0.17,0.84 (0.58-1.2),0.83,0.36
NFIA,0.13,1.1 (0.86-1.5),0.85,0.36
MRAS,-0.22,0.8 (0.5-1.3),0.83,0.36
LRFN2,-0.078,0.93 (0.78-1.1),0.83,0.36
LOC145820,0.12,1.1 (0.87-1.5),0.85,0.36
LMO3,-0.093,0.91 (0.75-1.1),0.85,0.36
GPR160,0.12,1.1 (0.88-1.4),0.85,0.36
GLS2,-0.061,0.94 (0.83-1.1),0.83,0.36
CXorf42,0.16,1.2 (0.84-1.6),0.84,0.36
COL23A1,0.066,1.1 (0.93-1.2),0.83,0.36
CDH23,0.09,1.1 (0.9-1.3),0.83,0.36
C1orf190,0.14,1.1 (0.85-1.5),0.83,0.36
BAT2,-0.34,0.71 (0.35-1.5),0.85,0.36
ATG10,0.24,1.3 (0.76-2.1),0.83,0.36
ANKRD20B,0.12,1.1 (0.87-1.5),0.83,0.36
VASH2,0.084,1.1 (0.9-1.3),0.79,0.37
UBE2L6,0.24,1.3 (0.75-2.1),0.8,0.37
TYW1B,0.12,1.1 (0.87-1.5),0.8,0.37
SLC30A10,-0.13,0.88 (0.67-1.2),0.82,0.37
SF3B3,0.36,1.4 (0.65-3.2),0.82,0.37
RAB10,-0.33,0.72 (0.35-1.5),0.8,0.37
PNPLA3,-0.077,0.93 (0.78-1.1),0.8,0.37
LOH3CR2A,0.1,1.1 (0.88-1.4),0.79,0.37
LOC728640,0.27,1.3 (0.73-2.3),0.81,0.37
HDLBP,0.42,1.5 (0.6-3.8),0.8,0.37
GPR35,0.15,1.2 (0.84-1.6),0.8,0.37
GNB1,0.29,1.3 (0.71-2.5),0.8,0.37
FBXO21,-0.28,0.75 (0.41-1.4),0.82,0.37
CD2BP2,-0.49,0.61 (0.21-1.8),0.82,0.37
CCDC48,0.089,1.1 (0.9-1.3),0.79,0.37
CALM1,-0.18,0.84 (0.57-1.2),0.81,0.37
C5orf27,-0.13,0.88 (0.66-1.2),0.81,0.37
C21orf82,-0.082,0.92 (0.77-1.1),0.81,0.37
C1orf229,0.13,1.1 (0.85-1.5),0.81,0.37
C14orf143,0.24,1.3 (0.76-2.1),0.82,0.37
ARMC4,0.082,1.1 (0.91-1.3),0.81,0.37
AOC3,0.11,1.1 (0.88-1.4),0.8,0.37
ANXA9,-0.21,0.81 (0.52-1.3),0.82,0.37
ALDH4A1,-0.11,0.89 (0.7-1.1),0.8,0.37
ADAMTS17,-0.1,0.9 (0.72-1.1),0.79,0.37
ABCG4,-0.065,0.94 (0.81-1.1),0.8,0.37
ZER1,-0.32,0.72 (0.35-1.5),0.76,0.38
YWHAG,0.14,1.2 (0.84-1.6),0.77,0.38
RCN1,0.24,1.3 (0.74-2.2),0.76,0.38
RAB5A,-0.39,0.68 (0.28-1.6),0.76,0.38
RAB1A,-0.6,0.55 (0.14-2.1),0.78,0.38
PSMC3,-0.3,0.74 (0.38-1.5),0.77,0.38
PRR4,-0.21,0.81 (0.5-1.3),0.77,0.38
NTN1,0.12,1.1 (0.86-1.5),0.76,0.38
MORF4L1,-0.32,0.73 (0.36-1.5),0.78,0.38
MID1IP1,-0.14,0.87 (0.63-1.2),0.78,0.38
LOC729799,-0.18,0.84 (0.56-1.2),0.76,0.38
LOC400752,-0.15,0.86 (0.62-1.2),0.76,0.38
LOC349196,-0.082,0.92 (0.77-1.1),0.77,0.38
KLRG1,0.18,1.2 (0.8-1.8),0.77,0.38
IL23A,-0.19,0.83 (0.54-1.3),0.76,0.38
HNRNPF,0.26,1.3 (0.73-2.3),0.78,0.38
HAS2,0.067,1.1 (0.92-1.2),0.77,0.38
FITM2,0.18,1.2 (0.8-1.8),0.76,0.38
CLTC,0.38,1.5 (0.63-3.4),0.78,0.38
CHST8,0.072,1.1 (0.92-1.3),0.77,0.38
CETP,0.067,1.1 (0.92-1.2),0.78,0.38
C17orf67,-0.14,0.87 (0.63-1.2),0.77,0.38
ANKRD40,-0.26,0.77 (0.43-1.4),0.77,0.38
ANAPC5,-0.35,0.71 (0.33-1.5),0.77,0.38
ZNF124,0.17,1.2 (0.81-1.7),0.74,0.39
SUPT5H,0.3,1.4 (0.67-2.7),0.73,0.39
SH3GL1,-0.29,0.75 (0.39-1.4),0.75,0.39
PAK2,0.3,1.3 (0.68-2.7),0.73,0.39
NKX3.1,0.13,1.1 (0.85-1.5),0.75,0.39
KCNAB3,0.12,1.1 (0.86-1.5),0.73,0.39
IL17RE,0.14,1.1 (0.84-1.6),0.75,0.39
GRM2,-0.06,0.94 (0.82-1.1),0.74,0.39
GPR83,-0.051,0.95 (0.85-1.1),0.74,0.39
GOLM1,-0.2,0.81 (0.51-1.3),0.74,0.39
GFAP,0.072,1.1 (0.91-1.3),0.75,0.39
FZD9,-0.099,0.91 (0.72-1.1),0.75,0.39
EGFLAM,0.086,1.1 (0.9-1.3),0.75,0.39
DYNLRB1,0.31,1.4 (0.67-2.8),0.73,0.39
DYNLL1,0.22,1.3 (0.75-2.1),0.73,0.39
DNAH10,-0.15,0.86 (0.61-1.2),0.74,0.39
DHX30,-0.3,0.74 (0.37-1.5),0.75,0.39
ASH1L,-0.21,0.81 (0.5-1.3),0.74,0.39
ARL8A,-0.38,0.68 (0.29-1.6),0.74,0.39
APLF,0.16,1.2 (0.81-1.7),0.73,0.39
ZNF678,0.13,1.1 (0.85-1.5),0.71,0.4
TRPC4,0.062,1.1 (0.92-1.2),0.69,0.4
SSR2,-0.25,0.78 (0.44-1.4),0.72,0.4
SLC20A2,-0.17,0.84 (0.57-1.3),0.71,0.4
SIRT4,-0.18,0.83 (0.54-1.3),0.7,0.4
RAPGEF1,0.32,1.4 (0.66-2.9),0.71,0.4
PTPN3,0.046,1 (0.94-1.2),0.7,0.4
PSMD1,0.37,1.5 (0.6-3.5),0.7,0.4
PPAP2B,0.13,1.1 (0.84-1.6),0.7,0.4
OSTalpha,0.18,1.2 (0.79-1.8),0.72,0.4
MURC,-0.15,0.86 (0.6-1.2),0.7,0.4
MAP4,-0.18,0.84 (0.55-1.3),0.71,0.4
MAP3K13,0.12,1.1 (0.85-1.5),0.7,0.4
LOC100125556,0.18,1.2 (0.79-1.8),0.7,0.4
GSTP1,-0.22,0.81 (0.49-1.3),0.72,0.4
GRIP2,-0.059,0.94 (0.82-1.1),0.71,0.4
F10,0.16,1.2 (0.81-1.7),0.71,0.4
EPN2,-0.15,0.86 (0.61-1.2),0.7,0.4
EIF2AK1,0.37,1.4 (0.62-3.4),0.72,0.4
X5.Sep,-0.096,0.91 (0.72-1.1),0.67,0.41
TUFM,-0.35,0.7 (0.3-1.6),0.67,0.41
TRIL,-0.091,0.91 (0.73-1.1),0.68,0.41
TMEM27,-0.12,0.88 (0.66-1.2),0.68,0.41
TMEM139,0.1,1.1 (0.87-1.4),0.67,0.41
TAS2R14,-0.15,0.86 (0.6-1.2),0.68,0.41
RNF217,-0.16,0.85 (0.58-1.3),0.67,0.41
PI4KA,-0.14,0.87 (0.62-1.2),0.69,0.41
MYLK4,-0.13,0.87 (0.63-1.2),0.67,0.41
LOC150786,-0.19,0.83 (0.53-1.3),0.68,0.41
KIAA1967,-0.49,0.61 (0.19-2),0.69,0.41
KBTBD12,0.076,1.1 (0.9-1.3),0.68,0.41
HTT,0.29,1.3 (0.67-2.6),0.66,0.41
HSD17B13,0.13,1.1 (0.84-1.5),0.69,0.41
GRTP1,0.096,1.1 (0.88-1.4),0.68,0.41
GATSL1,0.13,1.1 (0.84-1.5),0.69,0.41
EP300,-0.17,0.84 (0.56-1.3),0.67,0.41
CHMP1A,0.4,1.5 (0.58-3.8),0.69,0.41
C8orf79,0.06,1.1 (0.92-1.2),0.66,0.41
C6orf57,-0.22,0.8 (0.47-1.4),0.67,0.41
AGER,-0.097,0.91 (0.72-1.1),0.67,0.41
ABCA4,0.11,1.1 (0.86-1.4),0.68,0.41
USH2A,0.13,1.1 (0.83-1.6),0.64,0.42
SPAG8,-0.12,0.89 (0.67-1.2),0.66,0.42
SNHG10,-0.14,0.87 (0.63-1.2),0.65,0.42
SF3B1,0.36,1.4 (0.6-3.4),0.65,0.42
SECISBP2L,-0.18,0.83 (0.53-1.3),0.65,0.42
POLD2,0.23,1.3 (0.72-2.2),0.65,0.42
OLFM2,-0.14,0.87 (0.62-1.2),0.66,0.42
NHLRC4,0.13,1.1 (0.83-1.6),0.65,0.42
NCRNA00115,0.13,1.1 (0.83-1.6),0.66,0.42
ILF2,-0.29,0.75 (0.37-1.5),0.64,0.42
HNRNPD,0.31,1.4 (0.64-2.9),0.64,0.42
EIF4A1,-0.27,0.77 (0.4-1.5),0.65,0.42
